index,full_name,short_name,description,output_type,parameters
414,ee.Filter.gt,ee.Filter.gt,Filter on metadata greater than the given value.,Filter,"[{'name': 'name', 'type': 'String', 'details': 'The property name to filter on.'}, {'name': 'value', 'type': 'Object', 'details': 'The value to compare against.'}]"
415,ee.Filter.gte,ee.Filter.gte,Filter on metadata greater than or equal to the given value.,Filter,"[{'name': 'name', 'type': 'String', 'details': 'The property name to filter on.'}, {'name': 'value', 'type': 'Object', 'details': 'The value to compare against.'}]"
416,ee.Filter.hasType,ee.Filter.hasType,"Creates a unary or binary filter that passes if the left operand has the type, or is a subtype of the type named in the right operand.",Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
417,ee.Filter.inList,ee.Filter.inList,Filter on metadata contained in a list.,Filter,"[{'name': 'leftField', 'type': 'String, optional', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'List, optional', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, optional', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'List, optional', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
418,ee.Filter.intersects,ee.Filter.intersects,Creates a unary or binary filter that passes if the left geometry intersects the right geometry.,Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}, {'name': 'maxError', 'type': 'ErrorMargin, optional', 'details': 'The maximum reprojection error allowed during filter application.'}]"
419,ee.Filter.isContained,ee.Filter.isContained,Creates a unary or binary filter that passes if the right geometry contains the left geometry (empty geometries are not contained in anything).,Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}, {'name': 'maxError', 'type': 'ErrorMargin, optional', 'details': 'The maximum reprojection error allowed during filter application.'}]"
420,ee.Filter.lessThan,ee.Filter.lessThan,Creates a unary or binary filter that passes if the left operand is less than the right operand.,Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
421,ee.Filter.lessThanOrEquals,ee.Filter.lessThanOrEquals,Creates a unary or binary filter that passes unless the left operand is greater than the right operand.,Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
422,ee.Filter.listContains,ee.Filter.listContains,"Creates a unary or binary filter that passes if the left operand, a list, contains the right operand.",Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
423,ee.Filter.lt,ee.Filter.lt,Filter to metadata less than the given value.,Filter,"[{'name': 'name', 'type': 'String', 'details': 'The property name to filter on.'}, {'name': 'value', 'type': 'Object', 'details': 'The value to compare against.'}]"
424,ee.Filter.lte,ee.Filter.lte,Filter on metadata less than or equal to the given value.,Filter,"[{'name': 'name', 'type': 'String', 'details': 'The property name to filter on.'}, {'name': 'value', 'type': 'Object', 'details': 'The value to compare against.'}]"
425,ee.Filter.maxDifference,ee.Filter.maxDifference,"Creates a unary or binary filter that passes if the left and right operands, both numbers, are within a given maximum difference. If used as a join condition, this numeric difference is used as a join measure.",Filter,"[{'name': 'difference', 'type': 'Float', 'details': 'The maximum difference for which the filter will return true.'}, {'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
426,ee.Filter.neq,ee.Filter.neq,Filter to metadata not equal to the given value.,Filter,"[{'name': 'name', 'type': 'String', 'details': 'The property name to filter on.'}, {'name': 'value', 'type': 'Object', 'details': 'The value to compare against.'}]"
427,ee.Filter.not,ee.Filter.not,"Returns the opposite of the input filter, i.e. the resulting filter will match if and only if the input filter doesn't match.",Filter,"[{'name': 'filter', 'type': 'Filter', 'details': 'The Filter instance.'}]"
428,ee.Filter.notEquals,ee.Filter.notEquals,Creates a unary or binary filter that passes unless the two operands are equals.,Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
429,ee.Filter.notNull,ee.Filter.notNull,Returns a filter that passes if all the named properties are not null.,Filter,"[{'name': 'properties', 'type': 'List', 'details': ''}]"
430,ee.Filter.or,ee.Filter.or,Combine two or more filters using boolean OR.,Filter,"[{'name': 'var_args', 'type': 'VarArgs', 'details': 'The filters to combine.'}]"
431,ee.Filter.rangeContains,ee.Filter.rangeContains,Returns a filter that passes if the value of the selected field is in the specified range (inclusive).,Filter,"[{'name': 'field', 'type': 'String', 'details': 'A selector for the property being tested.'}, {'name': 'minValue', 'type': 'Object', 'details': 'The lower bound of the range.'}, {'name': 'maxValue', 'type': 'Object', 'details': 'The upper bound of the range.'}]"
432,ee.Filter.serialize,ee.Filter.serialize,Returns the serialized representation of this object.,String,"[{'name': 'computedobject', 'type': 'ComputedObject', 'details': 'The ComputedObject instance.'}, {'name': 'legacy', 'type': 'Boolean, optional', 'details': 'Enables legacy format.'}]"
433,ee.Filter.stringContains,ee.Filter.stringContains,"Creates a unary or binary filter that passes if the left operand, a string, contains the right operand, also a string.",Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
434,ee.Filter.stringEndsWith,ee.Filter.stringEndsWith,"Creates a unary or binary filter that passes if the left operand, a string, ends with the right operand, also a string.",Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
435,ee.Filter.stringStartsWith,ee.Filter.stringStartsWith,"Creates a unary or binary filter that passes if the left operand, a string, starts with the right operand, also a string.",Filter,"[{'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}]"
436,ee.Filter.withinDistance,ee.Filter.withinDistance,"Creates a unary or binary filter that passes if the left geometry is within a specified distance of the right geometry. If used as a join condition, this distance is used as a join measure.",Filter,"[{'name': 'distance', 'type': 'Float', 'details': 'The maximum distance for which the filter will return true.'}, {'name': 'leftField', 'type': 'String, default: null', 'details': 'A selector for the left operand. Should not be specified if leftValue is specified.'}, {'name': 'rightValue', 'type': 'Object, default: null', 'details': 'The value of the right operand. Should not be specified if rightField is specified.'}, {'name': 'rightField', 'type': 'String, default: null', 'details': 'A selector for the right operand. Should not be specified if rightValue is specified.'}, {'name': 'leftValue', 'type': 'Object, default: null', 'details': 'The value of the left operand. Should not be specified if leftField is specified.'}, {'name': 'maxError', 'type': 'ErrorMargin, optional', 'details': 'The maximum reprojection error allowed during filter application.'}]"
437,ee.Geometry,ee.Geometry,Creates a geometry.,Geometry,"[{'name': 'geoJson', 'type': 'Object', 'details': 'The GeoJSON object describing the geometry or a ComputedObject to be reinterpreted as a Geometry. Supports CRS specifications as per the GeoJSON spec, but only allows named\n\n(rather than ""linked"" CRSs). If this includes a \'geodesic\' field, and opt_geodesic is not specified, it will be used as opt_geodesic.'}, {'name': 'proj', 'type': 'Projection, optional', 'details': 'An optional projection specification, either as a CRS ID code or as a WKT string. If specified, overrides any CRS found in the geoJson parameter. If unspecified and the geoJson does not declare a CRS, defaults to ""EPSG:4326"" (x=longitude, y=latitude).'}, {'name': 'geodesic', 'type': 'Boolean, optional', 'details': 'Whether line segments should be interpreted as spherical geodesics. If false, indicates that line segments should be interpreted as planar lines in the specified CRS. If absent, defaults to true if the CRS is geographic (including the default EPSG:4326), or to false if the CRS is projected.'}, {'name': 'evenOdd', 'type': 'Boolean, optional', 'details': ""If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left- inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order. If unspecified, defaults to true.""}]"
438,ee.Geometry.BBox,BBox,Constructs a rectangle whose edges are lines of latitude and longitude.,Geometry.BBox,"[{'name': 'west', 'type': 'Number', 'details': 'The westernmost enclosed longitude. Will be adjusted to lie in the range -180° to 180°.'}, {'name': 'south', 'type': 'Number', 'details': 'The southernmost enclosed latitude. If less than -90°\n\n(south pole), will be treated as -90°.'}, {'name': 'east', 'type': 'Number', 'details': 'The easternmost enclosed longitude.'}, {'name': 'north', 'type': 'Number', 'details': 'The northernmost enclosed latitude. If greater than\n\n\xa0\xa0+90° (north pole), will be treated as +90°.'}]"
439,ee.Geometry.BBox.area,area,"Returns the area of the geometry. Area of points and line strings is 0, and the area of multi geometries is the sum of the areas of their components (intersecting areas are counted multiple times).",Float,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry input.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in square meters.'}]"
440,ee.Geometry.BBox.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject,"[{'name': 'computedobject', 'type': 'ComputedObject', 'details': 'The ComputedObject instance.'}, {'name': 'func', 'type': 'Function', 'details': 'The function to call.'}, {'name': 'var_args', 'type': 'VarArgs', 'details': 'Any extra arguments to pass to the function.'}]"
441,ee.Geometry.BBox.bounds,bounds,Returns the bounding rectangle of the geometry.,Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Return the bounding box of this geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in this projection. Otherwise it will be in WGS84.'}]"
442,ee.Geometry.BBox.buffer,buffer,"Returns the input buffered by a given distance. If the distance is positive, the geometry is expanded, and if the distance is negative, the geometry is contracted.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry being buffered.'}, {'name': 'distance', 'type': 'Float', 'details': 'The distance of the buffering, which may be negative. If no projection is specified, the unit is meters. Otherwise the unit is in the coordinate system of the projection.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when approximating the buffering circle and performing any necessary reprojection. If unspecified, defaults to 1% of the distance.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the buffering will be performed in this projection and the distance will be interpreted as units of the coordinate system of this projection. Otherwise the distance is interpereted as meters and the buffering is performed in a spherical coordinate system.'}]"
443,ee.Geometry.BBox.centroid,centroid,"Returns a point at the center of the highest-dimension components of the geometry. Lower-dimensional components are ignored, so the centroid of a geometry containing two polygons, three lines and a point is equivalent to the centroid of a geometry containing just the two polygons.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Calculates the centroid of this geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in this projection. Otherwise it will be in WGS84.'}]"
444,ee.Geometry.BBox.containedIn,containedIn,Returns true iff one geometry is contained in the other.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
445,ee.Geometry.BBox.contains,contains,Returns true iff one geometry contains the other.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
446,ee.Geometry.BBox.convexHull,convexHull,"Returns the convex hull of the given geometry. The convex hull of a single point is the point itself, the convex hull of collinear points is a line, and the convex hull of  everything else is a polygon. Note that a degenerate polygon with all vertices on the same line will result in a line segment.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Calculates the convex hull of this geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
447,ee.Geometry.BBox.coordinates,coordinates,Returns a GeoJSON-style list of the geometry's coordinates.,List,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
448,ee.Geometry.BBox.coveringGrid,coveringGrid,"Returns a collection of features that cover this geometry, where each feature is a rectangle in the grid defined by the given projection.",FeatureCollection,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The result is the grid cells that intersect with this region.'}, {'name': 'proj', 'type': 'Projection', 'details': ""The projection in which to construct the grid.  A feature is generated for each grid cell that intersects 'geometry', where cell corners are at integer-valued positions in the projection.  If the projection is scaled in meters, the points will be on a grid of that size at the point of true scale.""}, {'name': 'scale', 'type': 'Float, default: null', 'details': ""Overrides the scale of the projection, if provided.  May be required if the projection isn't already scaled.""}]"
449,ee.Geometry.BBox.cutLines,cutLines,"Converts LineString, MultiLineString, and LinearRing geometries into a MultiLineString by cutting them into parts no longer than the given distance along their length. All other geometry types will be converted to an empty MultiLineString.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'Cuts the lines of this geometry.'}, {'name': 'distances', 'type': 'List', 'details': 'Distances along each LineString to cut the line into separate pieces, measured in units of the given proj, or meters if proj is unspecified.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'Projection of the result and distance measurements, or WGS84 if unspecified.'}]"
450,ee.Geometry.BBox.difference,difference,Returns the result of subtracting the 'right' geometry from the 'left' geometry.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
451,ee.Geometry.BBox.disjoint,disjoint,Returns true iff the geometries are disjoint.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
452,ee.Geometry.BBox.dissolve,dissolve,"Returns the union of the geometry. This leaves single geometries untouched, and unions multi geometries.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry to union.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the union will be performed in this projection. Otherwise it will be performed in a spherical coordinate system.'}]"
453,ee.Geometry.BBox.distance,distance,Returns the minimum distance between two geometries.,Float,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
454,ee.Geometry.BBox.edgesAreGeodesics,edgesAreGeodesics,"Returns true if the geometry edges, if any, are geodesics along a spherical model of the earth; if false, any edges are straight lines in the projection.",Boolean,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
455,ee.Geometry.BBox.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY,"[{'name': 'computedobject', 'type': 'ComputedObject', 'details': 'The ComputedObject instance.'}, {'name': 'callback', 'type': 'Function', 'details': 'A function of the form function(success, failure), called when the server returns an answer. If the request succeeded, the success argument contains the evaluated result.  If the request failed, the failure argument will contains an error message.'}]"
456,ee.Geometry.BBox.geodesic,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth.",Boolean,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
457,ee.Geometry.BBox.geometries,geometries,"Returns the list of geometries in a GeometryCollection, or a singleton list of the geometry for single geometries.",List,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
458,ee.Geometry.BBox.getInfo,getInfo,Retrieves the value of this object from the server.,Object,"[{'name': 'computedobject', 'type': 'ComputedObject', 'details': 'The ComputedObject instance.'}, {'name': 'callback', 'type': 'Function, optional', 'details': 'An optional callback. If not supplied, the call is made synchronously.'}]"
459,ee.Geometry.BBox.intersection,intersection,Returns the intersection of the two geometries.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
460,ee.Geometry.BBox.intersects,intersects,Returns true iff the geometries intersect.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
461,ee.Geometry.BBox.isUnbounded,isUnbounded,Returns whether the geometry is unbounded.,Boolean,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
462,ee.Geometry.BBox.length,length,Returns the length of the linear parts of the geometry. Polygonal parts are ignored. The length of multi geometries is the sum of the lengths of their components.,Float,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The input geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.'}]"
463,ee.Geometry.BBox.perimeter,perimeter,Returns the length of the perimeter of the polygonal parts of the geometry. The perimeter of multi geometries is the sum of the perimeters of their components.,Float,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The input geometry.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.'}]"
464,ee.Geometry.BBox.projection,projection,Returns the projection of the geometry.,Projection,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
466,ee.Geometry.BBox.simplify,simplify,"Simplifies the geometry to within a given error margin. Note that this does not respect the error margin requested by the consumer of this algorithm, unless maxError is explicitly specified to be null.",Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry to simplify.'}, {'name': 'maxError', 'type': 'ErrorMargin', 'details': 'The maximum amount of error by which the result may differ from the input.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'If specified, the result will be in this projection. Otherwise it will be in the same projection as the input. If the error margin is in projected units, the margin will be interpreted as units of this projection'}]"
467,ee.Geometry.BBox.symmetricDifference,symmetricDifference,Returns the symmetric difference between two geometries.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
468,ee.Geometry.BBox.toGeoJSON,toGeoJSON,Returns a GeoJSON representation of the geometry.,GeoJSONGeometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The Geometry instance.'}]"
469,ee.Geometry.BBox.toGeoJSONString,toGeoJSONString,Returns a GeoJSON string representation of the geometry.,String,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The Geometry instance.'}]"
470,ee.Geometry.BBox.transform,transform,Transforms the geometry to a specific projection.,Geometry,"[{'name': 'geometry', 'type': 'Geometry', 'details': 'The geometry to reproject.'}, {'name': 'proj', 'type': 'Projection, optional', 'details': 'The target projection. Defaults to WGS84. If this has a geographic CRS, the edges of the geometry will be interpreted as geodesics. Otherwise they will be interpreted as straight lines in the projection.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum projection error.'}]"
471,ee.Geometry.BBox.type,type,Returns the GeoJSON type of the geometry.,String,"[{'name': 'geometry', 'type': 'Geometry', 'details': ''}]"
472,ee.Geometry.BBox.union,union,Returns the union of the two geometries.,Geometry,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
473,ee.Geometry.BBox.withinDistance,withinDistance,Returns true iff the geometries are within a specified distance.,Boolean,"[{'name': 'left', 'type': 'Geometry', 'details': 'The geometry used as the left operand of the operation.'}, {'name': 'right', 'type': 'Geometry', 'details': 'The geometry used as the right operand of the operation.'}, {'name': 'distance', 'type': 'Float', 'details': 'The distance threshold. If a projection is specified, the distance is in units of that projected coordinate system, otherwise it is in meters.'}, {'name': 'maxError', 'type': 'ErrorMargin, default: null', 'details': 'The maximum amount of error tolerated when performing any necessary reprojection.'}, {'name': 'proj', 'type': 'Projection, default: null', 'details': 'The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.'}]"
474,ee.Geometry.LineString,ee.Geometry.LineString,Constructs an ee.Geometry describing a LineString.,Geometry.LineString,"[{'name': 'coords', 'type': 'List', 'details': ""A list of at least two points.  May be a list of coordinates in the GeoJSON 'LineString' format, a list of at least two ee.Geometry objects describing a point, or a list of at least four numbers defining the [x,y] coordinates of at least two points.""}, {'name': 'proj', 'type': 'Projection, optional', 'details': 'The projection of this geometry. If unspecified, the default is the projection of the input ee.Geometry, or EPSG:4326 if there are no ee.Geometry inputs.'}, {'name': 'geodesic', 'type': 'Boolean, optional', 'details': 'If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.'}, {'name': 'maxError', 'type': 'ErrorMargin, optional', 'details': 'Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.'}]"
